Gene	Grantham_Distance	Stop_Codon_Alt	Missense_Count	Homolog	Homolog_Description	Homolog_Symbol	Haploblock
Ha412HOChr11g0489931	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0489961	75	0	2	AT3G15510	Note of caution: not to be confused with another protein (AtNAC6 locus AT5G39610) which on occasion has also been referred to as AtNAC2.	NAC DOMAIN CONTAINING PROTEIN  2 (NAC2)	ANN_11_01
Ha412HOChr11g0489971	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0489981	58	0	2	AT3G15518	hypothetical protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490011	377	0	6	AT5G54440	Encodes a putative TRAPPII tethering factor required for cell plate assembly during cytokinesis. Part of multi-protein complex, acting as guanine nucleotide exchange factors (GEFs) and possibly as tethers, regulating intracellular trafficking.	CLUB (CLUB)	ANN_11_01
Ha412HOChr11g0490021	60	0	1	AT5G54400	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490071	99	0	1	AT1G52855	hypothetical protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490081	732	0	10	AT3G13682	Encodes a homolog of human  Lysine-Specific Demethylase1. Involved in H3K4 methylation of target genes including the flowering loci FLC and FWA.	LSD1-LIKE2 (LDL2)	ANN_11_01
Ha412HOChr11g0490091	157	0	3	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490131	0	0	0	AT4G21570	organic solute transporter ostalpha protein (DUF300);(source:Araport11)		ANN_11_01
Ha412HOChr11g0490151	471	0	8	AT5G54310	A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes.  Regulates membrane trafficking and organ separation.	ARF-GAP DOMAIN 5 (AGD5)	ANN_11_01
Ha412HOChr11g0490161	409	0	7	AT1G61260	cotton fiber (DUF761);(source:Araport11)		ANN_11_01
Ha412HOChr11g0490171	492	0	6	AT5G54250	member of Cyclic nucleotide gated channel family, downstream component of the signaling pathways leading to HR resistance. mutant plants exhibit gene-for-gene disease resistance against avirulent Pseudomonas syringae despite the near-complete absence of the hypersensitive response (HR). Salicylic acid accumulation in dnd2 mutants is completely PAD4-independent.	CYCLIC NUCLEOTIDE-GATED CATION CHANNEL 4 (CNGC4)	ANN_11_01
Ha412HOChr11g0490191	243	0	4	AT5G54250	member of Cyclic nucleotide gated channel family, downstream component of the signaling pathways leading to HR resistance. mutant plants exhibit gene-for-gene disease resistance against avirulent Pseudomonas syringae despite the near-complete absence of the hypersensitive response (HR). Salicylic acid accumulation in dnd2 mutants is completely PAD4-independent.	CYCLIC NUCLEOTIDE-GATED CATION CHANNEL 4 (CNGC4)	ANN_11_01
Ha412HOChr11g0490201	134	0	2	AT5G54250	member of Cyclic nucleotide gated channel family, downstream component of the signaling pathways leading to HR resistance. mutant plants exhibit gene-for-gene disease resistance against avirulent Pseudomonas syringae despite the near-complete absence of the hypersensitive response (HR). Salicylic acid accumulation in dnd2 mutants is completely PAD4-independent.	CYCLIC NUCLEOTIDE-GATED CATION CHANNEL 4 (CNGC4)	ANN_11_01
Ha412HOChr11g0490221	240	0	3	AT4G27360	Dynein light chain type 1 family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490231	0	0	0	AT5G54370	Late embryogenesis abundant (LEA) protein-like protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490261	0	0	0	AT5G54370	Late embryogenesis abundant (LEA) protein-like protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490271	277	0	8	AT4G27350	membrane lipoprotein lipid attachment site-like protein, putative (DUF1223);(source:Araport11)		ANN_11_01
Ha412HOChr11g0490281	110	0	1	AT4G21450	PapD-like superfamily protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490291	0	0	0	AT1G01700	Encodes a member of KPP-like gene family, homolog of KPP (kinase partner protein) gene in tomato.  Also a member of the RopGEF (guanine nucleotide exchange factor) family, containing the novel PRONE domain (plant-specific Rop nucleotide exchanger), which is exclusively active towards members of the Rop subfamily.	ROP (RHO OF PLANTS) GUANINE NUCLEOTIDE EXCHANGE FACTOR 2 (ROPGEF2)	ANN_11_01
Ha412HOChr11g0490301	116	1	3	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490311	394	0	4	AT5G08240	transmembrane protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490321	24	0	1	AT4G27340	Met-10+ like family protein;(source:Araport11)	TRNA METHYLTRANSFERASE 5B (TRM5B)	ANN_11_01
Ha412HOChr11g0490331	0	0	0	AT5G49930	zinc knuckle (CCHC-type) family protein;(source:Araport11)	EMBRYO DEFECTIVE 1441 (emb1441)	ANN_11_01
Ha412HOChr11g0490341	0	0	0	AT1G11360	Adenine nucleotide alpha hydrolases-like superfamily protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490351	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490371	117	0	3	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490381	915	0	17	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490391	201	0	4	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490411	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490421	187	0	3	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490451	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490471	652	0	13	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490481	664	0	11	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490501	804	0	11	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490511	1077	0	16	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490521	99	0	1	AT5G28050	Cytidine/deoxycytidylate deaminase family protein;(source:Araport11)	GUANOSINE DEAMINASE (GSDA)	ANN_11_01
Ha412HOChr11g0490531	777	0	15	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490541	0	0	0	AT5G11980	COG8 is a component of a putative  conserved oligomeric Golgi (COG) complex that is thought to be involved in tethering of retrograde intra Golgi vesicles. It is required for proper deposition of cell wall materials in pollen tube growth. In mutant pollen,golgi appear abnormal.When homozygotes can be produced (by complementing the defect in pollen), the plants are embryo lethal suggesting an essential function. COG8 interacts with several other putative COG components.	CONSERVED OLIGOMERIC GOLGI COMPLEX 8 (COG8)	ANN_11_01
Ha412HOChr11g0490561	287	0	5	AT4G27300	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490571	809	0	13	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490621	208	0	4	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490631	29	0	1	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490651	94	0	1	AT4G27300	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490661	95	0	3	AT1G65800	Encodes a putative receptor-like serine/threonine protein kinases that is similar to brassica self-incompatibility (S) locus. expressed in specifically in cotyledons, leaves, and sepals, in correlation with the maturation of these structures. Together with AtPUB9, it is required for auxin-mediated lateral root development under phosphate-starved conditions. The mRNA is cell-to-cell mobile.	RECEPTOR KINASE 2 (RK2)	ANN_11_01
Ha412HOChr11g0490671	29	0	1	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490681	23	0	1	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490741	0	0	0	AT4G27300	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490751	0	0	0	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490771	0	0	0	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490791	0	0	0	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490801	0	0	0	AT4G27300	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490811	0	0	0	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490821	0	0	0	AT3G10410	SERINE CARBOXYPEPTIDASE-LIKE 49;(source:Araport11)	SERINE CARBOXYPEPTIDASE-LIKE 49 (scpl49)	ANN_11_01
Ha412HOChr11g0490851	0	0	0	AT3G10410	SERINE CARBOXYPEPTIDASE-LIKE 49;(source:Araport11)	SERINE CARBOXYPEPTIDASE-LIKE 49 (scpl49)	ANN_11_01
Ha412HOChr11g0490881	0	0	0	AT4G27300	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490891	0	0	0	AT4G21390	S-locus lectin protein kinase family protein;(source:Araport11)	(B120)	ANN_11_01
Ha412HOChr11g0490921	0	0	0	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490931	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490941	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0490961	514	0	8	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0490991	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491021	711	0	10	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491031	0	0	0	AT1G79350	Encodes the Arabidopsis thaliana orthologue of metazoan Strawberry notch, a highly conserved co-activator of the developmental regulator Notch. It mediates stress-induced chromatin memory by modulating nucleosome occupancy by interacting with chromatin remodeling proteins of the ISWI and SWI/SNF classes.	EMBRYO DEFECTIVE 1135 (EMB1135)	ANN_11_01
Ha412HOChr11g0491051	15	0	1	AT4G27300	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491061	702	0	11	AT1G61370	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491101	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491111	0	0	0	AT2G34400	Pentatricopeptide repeat (PPR-like) superfamily protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491121	388	0	6	AT4G27300	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491141	1058	0	16	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491181	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491191	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491231	748	0	10	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491241	908	0	11	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491251	99	0	1	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491261	266	0	6	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491301	24	0	1	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491311	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491321	521	0	11	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491331	0	0	0	AT4G27280	EF-hand Ca2 + -binding protein, which is a Ca2+-dependent transducer of auxin-regulated gene expression and interacts with ICR1.	CA2+-DEPENDENT MODULATOR OF ICR1 (CMI1)	ANN_11_01
Ha412HOChr11g0491341	0	0	0	AT3G15353	metallothionein, binds to and detoxifies excess copper and other metals, limiting oxidative damage	METALLOTHIONEIN 3 (MT3)	ANN_11_01
Ha412HOChr11g0491351	0	0	0	AT3G46060	small GTP-binding protein (ara-3) The mRNA is cell-to-cell mobile.	(RABE1c)	ANN_11_01
Ha412HOChr11g0491381	0	0	0	AT1G11080	serine carboxypeptidase-like 31;(source:Araport11)	SERINE CARBOXYPEPTIDASE-LIKE 31 (scpl31)	ANN_11_01
Ha412HOChr11g0491411	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491441	0	0	0	AT4G21390	S-locus lectin protein kinase family protein;(source:Araport11)	(B120)	ANN_11_01
Ha412HOChr11g0491451	0	0	0	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491461	601	0	7	AT4G27290	S-locus lectin protein kinase family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491471	104	0	2	AT5G64200	encodes an SC35-like splicing factor of 35 kD localized to the nuclear specks.	ORTHOLOG OF HUMAN SPLICING FACTOR SC35 (SC35)	ANN_11_01
Ha412HOChr11g0491531	81	0	1	AT5G54510	Encodes an IAA-amido synthase that conjugates Ala, Asp, Phe, and Trp to auxin. Lines overexpressing this gene accumulate IAA-ASP and are hypersensitive to several auxins.  Identified as a dominant mutation that displays shorter hypocotyls in light grown plants when compared to wild type siblings. Protein is similar to auxin inducible gene from pea (GH3).	DWARF IN LIGHT 1 (DFL1)	ANN_11_01
Ha412HOChr11g0491561	104	0	2	AT5G54530	serine protease, putative (Protein of unknown function, DUF538);(source:Araport11)		ANN_11_01
Ha412HOChr11g0491621	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491631	132	0	2	AT5G54540	Uncharacterized conserved protein (UCP012943);(source:Araport11)		ANN_11_01
Ha412HOChr11g0491641	0	0	0	AT5G54570	beta glucosidase 41;(source:Araport11)	BETA GLUCOSIDASE 41 (BGLU41)	ANN_11_01
Ha412HOChr11g0491651	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491691	230	0	4	AT5G48150	Member of GRAS gene family. Semi-dominant mutant has a reduced response to far-red light and appears to act early in the phytochrome A signaling pathway.	PHYTOCHROME A SIGNAL TRANSDUCTION 1 (PAT1)	ANN_11_01
Ha412HOChr11g0491701	0	0	0	AT5G40510	Sucrase/ferredoxin-like family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491711	248	0	5	AT5G54650	Encodes a protein with similarity to formins that is involved in cytokinesis. Loss of function mutations exhibit delayed cellularization during endosperm development.  FH5 is expressed in the endosperm and the protein localizes to the cell plate.  FH5 was shown to be a maternally expressed imprinted gene.	FORMIN HOMOLOGY5 (Fh5)	ANN_11_01
Ha412HOChr11g0491721	155	0	1	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491731	309	0	4	AT5G54660	HSP20-like chaperones superfamily protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491751	0	0	0	AT5G46070	Guanylate-binding family protein;(source:Araport11)	GUANYLATE-BINDING PROTEIN-LIKE 3 (GBPL3)	ANN_11_01
Ha412HOChr11g0491761	113	0	1	AT5G54670	Encodes a truncated KatC polypeptide (KatC(207-754)), which includes the carboxyl-terminal region of KatC. This was expressed in Escherichia coli and was shown to possess microtubule-stimulated ATPase activity.	KINESIN 3 (ATK3)	ANN_11_01
Ha412HOChr11g0491791	46	0	1	AT5G54680	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)	IAA-LEUCINE RESISTANT3 (ILR3)	ANN_11_01
Ha412HOChr11g0491801	97	0	3	AT5G54690	Encodes a protein with  putative galacturonosyltransferase activity. Mutants defective in this gene displayed a notable reduction in xylose (>50%) in the cell walls from stems and roots and a reduction in cellulose (~25%).	GALACTURONOSYLTRANSFERASE 12 (GAUT12)	ANN_11_01
Ha412HOChr11g0491811	984	0	16	AT4G27190	NB-ARC domain-containing disease resistance protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491821	346	1	9	AT4G27190	NB-ARC domain-containing disease resistance protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491831	269	0	4	AT4G27190	NB-ARC domain-containing disease resistance protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491841	468	0	7	AT4G27190	NB-ARC domain-containing disease resistance protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491851	962	1	14	AT4G27190	NB-ARC domain-containing disease resistance protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491861	114	0	3	AT3G20720	amino-terminal region of chorein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0491881	0	0	0	AT3G20740	Encodes a protein similar to the transcriptional regular of the animal Polycomb group and is involved in regulation of establishment of anterior-posterior polar axis in the endosperm and repression of flowering during vegetative phase. Mutation leads endosperm to develop in the absence of fertilization and flowers to form in seedlings and non-reproductive organs. Also exhibits maternal effect gametophytic lethal phenotype, which is suppressed by hypomethylation.  Forms part of a large protein complex that can include VRN2 (VERNALIZATION 2), VIN3 (VERNALIZATION INSENSITIVE 3) and polycomb group proteins FERTILIZATION INDEPENDENT ENDOSPERM (FIE), CURLY LEAF (CLF) and SWINGER (SWN or EZA1).  The complex has a role in establishing FLC (FLOWERING LOCUS C) repression during vernalization. In the ovule, the FIE transcript  levels increase transiently just after fertilization.	FERTILIZATION-INDEPENDENT ENDOSPERM (FIE)	ANN_11_01
Ha412HOChr11g0491891	337	0	3	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491901	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0491921	39	0	2	AT3G28380	P-glycoprotein 17;(source:Araport11)	ATP-BINDING CASSETTE B17 (ABCB17)	ANN_11_01
Ha412HOChr11g0491931	447	0	6	AT3G28345	Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem.	ATP-BINDING CASSETTE B15 (ABCB15)	ANN_11_01
Ha412HOChr11g0491941	58	0	1	AT5G54750	Part of multi-protein complex, acting as guanine nucleotide exchange factors (GEFs) and possibly as tethers, regulating intracellular trafficking.	(TRAPPC3)	ANN_11_01
Ha412HOChr11g0491961	275	0	6	AT4G27160	seed storage albumin 3;(source:Araport11)	SEED STORAGE ALBUMIN 3 (SESA3)	ANN_11_01
Ha412HOChr11g0491971	162	0	4	AT4G27160	seed storage albumin 3;(source:Araport11)	SEED STORAGE ALBUMIN 3 (SESA3)	ANN_11_01
Ha412HOChr11g0491991	0	0	0	AT4G27160	seed storage albumin 3;(source:Araport11)	SEED STORAGE ALBUMIN 3 (SESA3)	ANN_11_01
Ha412HOChr11g0492031	484	0	9	AT1G22360	UDP-glucosyl transferase 85A2;(source:Araport11)	UDP-GLUCOSYL TRANSFERASE 85A2 (UGT85A2)	ANN_11_01
Ha412HOChr11g0492041	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492061	0	0	0	AT3G61600	POZ/BTB containing-protein AtPOB1. Involvement in protein ubiquitylation is predicted based on physical interaction with CULLIN 3 proteins. The mRNA is cell-to-cell mobile.	POZ/BTB CONTAININ G-PROTEIN 1 (POB1)	ANN_11_01
Ha412HOChr11g0492081	180	0	1	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492091	0	0	0	AT5G64260	EXORDIUM like 2;(source:Araport11)	EXORDIUM LIKE 2 (EXL2)	ANN_11_01
Ha412HOChr11g0492101	508	0	5	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492111	107	0	1	AT1G17840	Encodes a plasma membrane-localized ATP-binding cassette transporter, that is required for cutin  transport to the extracellular matrix. The mRNA is cell-to-cell mobile.	ATP-BINDING CASSETTE G11 (ABCG11)	ANN_11_01
Ha412HOChr11g0492121	514	0	5	AT1G17840	Encodes a plasma membrane-localized ATP-binding cassette transporter, that is required for cutin  transport to the extracellular matrix. The mRNA is cell-to-cell mobile.	ATP-BINDING CASSETTE G11 (ABCG11)	ANN_11_01
Ha412HOChr11g0492131	0	0	0	AT4G13600	Carbohydrate-binding X8 domain superfamily protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0492151	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492191	314	0	5	AT1G17840	Encodes a plasma membrane-localized ATP-binding cassette transporter, that is required for cutin  transport to the extracellular matrix. The mRNA is cell-to-cell mobile.	ATP-BINDING CASSETTE G11 (ABCG11)	ANN_11_01
Ha412HOChr11g0492201	497	0	4	AT1G17840	Encodes a plasma membrane-localized ATP-binding cassette transporter, that is required for cutin  transport to the extracellular matrix. The mRNA is cell-to-cell mobile.	ATP-BINDING CASSETTE G11 (ABCG11)	ANN_11_01
Ha412HOChr11g0492211	0	0	0	AT4G23160	Encodes a cysteine-rich receptor-like protein kinase.	CYSTEINE-RICH RLK (RECEPTOR-LIKE PROTEIN KINASE) 8 (CRK8)	ANN_11_01
Ha412HOChr11g0492221	0	0	0	AT4G13750	Encodes NO VEIN (NOV), a plant-specific nuclear factor required for leaf vascular development, cellular patterning and stem cell maintenance in the root meristem, as well as for cotyledon outgrowth and separation. nov mutations affect many aspects of auxin-dependent development without directly affecting auxin perception.	NO VEIN (NOV)	ANN_11_01
Ha412HOChr11g0492231	56	0	1	AT4G13750	Encodes NO VEIN (NOV), a plant-specific nuclear factor required for leaf vascular development, cellular patterning and stem cell maintenance in the root meristem, as well as for cotyledon outgrowth and separation. nov mutations affect many aspects of auxin-dependent development without directly affecting auxin perception.	NO VEIN (NOV)	ANN_11_01
Ha412HOChr11g0492241	118	0	3	AT4G13750	Encodes NO VEIN (NOV), a plant-specific nuclear factor required for leaf vascular development, cellular patterning and stem cell maintenance in the root meristem, as well as for cotyledon outgrowth and separation. nov mutations affect many aspects of auxin-dependent development without directly affecting auxin perception.	NO VEIN (NOV)	ANN_11_01
Ha412HOChr11g0492251	154	0	4	AT1G17840	Encodes a plasma membrane-localized ATP-binding cassette transporter, that is required for cutin  transport to the extracellular matrix. The mRNA is cell-to-cell mobile.	ATP-BINDING CASSETTE G11 (ABCG11)	ANN_11_01
Ha412HOChr11g0492291	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492321	237	0	2	AT2G44710	RNA-binding (RRM/RBD/RNP motifs) family protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0492331	147	0	3	AT4G33565	RING/U-box superfamily protein;(source:Araport11)	ARABIDOPSIS T??XICOS EN LEVADURA 83 (ATL83)	ANN_11_01
Ha412HOChr11g0492341	61	0	1	AT1G28220	Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.	PURINE PERMEASE 3 (PUP3)	ANN_11_01
Ha412HOChr11g0492361	124	0	3	AT1G28220	Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.	PURINE PERMEASE 3 (PUP3)	ANN_11_01
Ha412HOChr11g0492391	330	0	6	AT1G28220	Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane.	PURINE PERMEASE 3 (PUP3)	ANN_11_01
Ha412HOChr11g0492401	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492421	81	0	1	AT5G64330	Involved in blue light response signaling pathway; interacts with the blue light photoreceptor NPH1. Null mutations abolish phototrophic responses of etiolated seedlings to low fluence blue light.  Protein contains multiple protein-protein interaction domains.	NON-PHOTOTROPIC HYPOCOTYL 3 (NPH3)	ANN_11_01
Ha412HOChr11g0492431	58	0	1	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492461	0	0	0	AT4G14130	xyloglucan endotransglycosylase-related protein (XTR7)	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 15 (XTH15)	ANN_11_01
Ha412HOChr11g0492471	0	0	0	AT4G14130	xyloglucan endotransglycosylase-related protein (XTR7)	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 15 (XTH15)	ANN_11_01
Ha412HOChr11g0492491	596	0	8	AT4G14130	xyloglucan endotransglycosylase-related protein (XTR7)	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 15 (XTH15)	ANN_11_01
Ha412HOChr11g0492501	0	0	0	AT4G14130	xyloglucan endotransglycosylase-related protein (XTR7)	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 15 (XTH15)	ANN_11_01
Ha412HOChr11g0492521	0	0	0	AT4G14130	xyloglucan endotransglycosylase-related protein (XTR7)	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 15 (XTH15)	ANN_11_01
Ha412HOChr11g0492551	0	0	0	AT4G14130	xyloglucan endotransglycosylase-related protein (XTR7)	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 15 (XTH15)	ANN_11_01
Ha412HOChr11g0492571	98	0	1	AT4G14130	xyloglucan endotransglycosylase-related protein (XTR7)	XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE 15 (XTH15)	ANN_11_01
Ha412HOChr11g0492581	292	0	6	AT5G64360	EIP9 interacts with EMF1 to regulate flowering. It functions partially redundantly with SDJ2 and SDJ3 and interacts with SUVH1 and SUVH3 to form a SUVH-SDJ complex. The complex binds promoters with DNA methylation and mediates transcriptional activation of promoter methylated genes.	EMF1-INTERACTING PROTEIN 9 (EIP9)	ANN_11_01
Ha412HOChr11g0492621	64	0	1	AT1G62970	SDJ3 functions partially redundantly with SDJ1 and SDJ2 and interacts with SUVH1 and SUVH3 to form a SUVH-SDJ complex. The complex binds promoters with DNA methylation and mediates transcriptional activation of promoter methylated genes.	SUVH1/3-INTERACTING DNAJ DOMAIN-CONTAINING PROTEIN 3 (SDJ3)	ANN_11_01
Ha412HOChr11g0492631	155	0	1	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492641	58	0	1	AT5G55830	Concanavalin A-like lectin protein kinase family protein;(source:Araport11)	L-TYPE LECTIN RECEPTOR KINASE S.7 (LECRK-S.7)	ANN_11_01
Ha412HOChr11g0492651	255	0	3	AT2G38880	Encodes a transcription factor from the nuclear factor Y (NF-Y) family, AtNF-YB1.  Confers drought tolerance.	NUCLEAR FACTOR Y, SUBUNIT B1 (NF-YB1)	ANN_11_01
Ha412HOChr11g0492661	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492671	0	0	0	NA	NA	NA	ANN_11_01
Ha412HOChr11g0492681	0	0	0	AT4G14540	nuclear factor Y, subunit B3;(source:Araport11)	NUCLEAR FACTOR Y, SUBUNIT B3 (NF-YB3)	ANN_11_01
Ha412HOChr11g0492691	5	0	1	AT4G16400	transmembrane protein;(source:Araport11)		ANN_11_01
Ha412HOChr11g0492701	58	0	1	AT5G55630	Encodes AtTPK1 (KCO1), a member of the Arabidopsis thaliana K+ channel family of AtTPK/KCO proteins. AtTPK1 is targeted to the vacuolar membrane. Forms homomeric ion channels in vivo. Voltage-independent and Ca2+-activated K+ channel. Activated by 14-3-3 proteins. Vacuolar K+-conducting TPC1 and TPK1/TPK3 channels act in concert to provide for Ca2+- and voltageinduced electrical excitability to the central organelle of plant cells.	TWO PORE K CHANNEL (KCO1)	ANN_11_01
Ha412HOChr11g0492711	290	0	4	AT5G55630	Encodes AtTPK1 (KCO1), a member of the Arabidopsis thaliana K+ channel family of AtTPK/KCO proteins. AtTPK1 is targeted to the vacuolar membrane. Forms homomeric ion channels in vivo. Voltage-independent and Ca2+-activated K+ channel. Activated by 14-3-3 proteins. Vacuolar K+-conducting TPC1 and TPK1/TPK3 channels act in concert to provide for Ca2+- and voltageinduced electrical excitability to the central organelle of plant cells.	TWO PORE K CHANNEL (KCO1)	ANN_11_01
